El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Villa de Vallecas;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;753;1.662;2.415;42.053;92.109;134.162
2; 80 - 84;845;1.283;2.128;42.412;68.809;111.221
3; 75 - 79;1.493;1.866;3.359;53.602;80.108;133.710
4; 70 - 74;1.728;2.346;4.074;60.418;83.243;143.661
5; 65 - 69;2.440;2.930;5.370;80.493;102.569;183.062
6; 60 - 64;3.139;3.893;7.032;102.853;122.998;225.851
7; 55 - 59;3.760;4.136;7.896;116.074;132.847;248.921
8; 50 - 54;4.894;5.061;9.955;126.476;138.636;265.112
9; 45 - 49;6.345;6.476;12.821;130.316;139.236;269.552
10; 40 - 44;5.221;5.627;10.848;122.467;127.825;250.292
11; 35 - 39;4.774;5.073;9.847;122.464;125.667;248.131
12; 30 - 34;4.687;4.780;9.467;133.726;137.801;271.527
13; 25 - 29;3.868;4.050;7.918;124.072;132.589;256.661
14; 20 - 24;3.282;3.169;6.451;100.514;102.254;202.768
15; 15 - 19;3.447;3.130;6.577;84.747;81.427;166.174
16; 10 - 14;3.910;3.717;7.627;77.909;75.033;152.942
17; 5 - 9;3.690;3.564;7.254;71.169;68.166;139.335
18; 0 - 4;2.825;2.655;5.480;63.996;60.839;124.835
