El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Villa de Vallecas;
2013;Anual;39104;
2014;Anual;35624;
2015;Anual;35908;
2016;Anual;41469;
2017;Anual;44666;
2018;Anual;45364;
2019;Anual;47689;
2020;Anual;49254;
2021;Anual;49930;
2022;Anual;51691;
2023;Anual;52054;
