El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Villa de Vallecas;
2010;Anual;2018;
2011;Anual;2110;
2012;Anual;1925;
2013;Anual;2074;
2014;Anual;2372;
2015;Anual;2498;
2016;Anual;2602;
2017;Anual;2883;
2018;Anual;2223;
2019;Anual;3475;
2020;Anual;3764;
2021;Anual;3713;
2022;Anual;3606;
2023;Anual;3753;
