El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Puente de Vallecas;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;2.641;6.030;8.671;42.053;92.109;134.162
2; 80 - 84;2.265;3.857;6.122;42.412;68.809;111.221
3; 75 - 79;3.084;4.501;7.585;53.602;80.108;133.710
4; 70 - 74;3.914;5.126;9.040;60.418;83.243;143.661
5; 65 - 69;6.173;7.576;13.749;80.493;102.569;183.062
6; 60 - 64;8.192;9.816;18.008;102.853;122.998;225.851
7; 55 - 59;8.924;10.438;19.362;116.074;132.847;248.921
8; 50 - 54;8.850;9.749;18.599;126.476;138.636;265.112
9; 45 - 49;9.351;9.751;19.102;130.316;139.236;269.552
10; 40 - 44;9.342;9.384;18.726;122.467;127.825;250.292
11; 35 - 39;9.593;9.266;18.859;122.464;125.667;248.131
12; 30 - 34;10.661;10.380;21.041;133.726;137.801;271.527
13; 25 - 29;10.488;10.281;20.769;124.072;132.589;256.661
14; 20 - 24;8.471;8.106;16.577;100.514;102.254;202.768
15; 15 - 19;6.423;6.100;12.523;84.747;81.427;166.174
16; 10 - 14;5.740;5.480;11.220;77.909;75.033;152.942
17; 5 - 9;5.453;5.175;10.628;71.169;68.166;139.335
18; 0 - 4;4.901;4.696;9.597;63.996;60.839;124.835
