El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Puente de Vallecas;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;14,02;71;
2011;Anual;14,83;69,87;
2012;Anual;14,32;70,49;
2013;Anual;14,65;73;
2014;Anual;13,32;73,66;
2015;Anual;14,96;76,17;
2016;Anual;14,79;79,58;
2017;Anual;14,93;81,08;
2018;Anual;15,97;83,22;
2019;Anual;16,67;85,23;
2020;Anual;16,1;85,5;
2021;Anual;15,38;83,51;
2022;Anual;16,06;88,8;
2023;Anual;15,85;91,68;
