El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Puente de Vallecas;Madrid;
2013;Anual;33,8;39;
2014;Anual;30;39,2;
2015;Anual;30,7;39,9;
2016;Anual;35,3;40,8;
2017;Anual;37,3;42,1;
2018;Anual;37,8;42,8;
2019;Anual;38,7;43,9;
2020;Anual;38,8;44,1;
2021;Anual;38,5;43,4;
2022;Anual;40,6;45,4;
2023;Anual;39,3;45,9;
