El municipio en cifras
Parados por grupos de edad
Año;Periodos;Menos de 25 años;Entre 25 y 44 años;Más de 44 años;
2012;Diciembre;2.684;12.597;9.987;
2013;Enero;2.728;13.038;10.318;
2013;Febrero;2.858;13.338;10.442;
2013;Marzo;2.780;13.254;10.476;
2013;Abril;2.774;13.270;10.529;
2013;Mayo;2.671;12.865;10.525;
2013;Junio;2.566;12.587;10.673;
2013;Julio;2.420;12.334;10.646;
2013;Agosto;2.385;12.255;10.759;
2013;Septiembre;2.712;12.278;10.870;
2013;Octubre;2.752;12.445;11.045;
2013;Noviembre;2.725;12.392;11.000;
2013;Diciembre;2.352;12.027;10.909;
2014;Enero;2.480;12.184;11.079;
2014;Febrero;2.530;12.386;11.120;
2014;Marzo;2.545;12.281;11.114;
2014;Abril;2.462;12.012;11.122;
2014;Mayo;2.343;11.533;11.047;
2014;Junio;2.217;11.105;10.891;
2014;Julio;2.355;10.960;10.789;
2014;Agosto;2.358;10.961;10.844;
2014;Septiembre;2.582;11.005;10.959;
2014;Octubre;2.525;11.133;11.059;
2014;Noviembre;2.493;11.076;11.033;
2014;Diciembre;2.199;10.804;11.022;
2015;Enero;2.222;11.062;11.137;
2015;Febrero;2.357;11.155;11.116;
2015;Marzo;2.375;11.111;11.070;
2015;Abril;2.296;10.722;10.956;
2015;Mayo;2.211;10.276;10.805;
2015;Junio;2.141;9.965;10.640;
2015;Julio;2.199;9.732;10.446;
2015;Agosto;2.188;9.851;10.411;
2015;Septiembre;2.339;9.783;10.552;
2015;Octubre;2.350;10.039;10.598;
2015;Noviembre;2.278;9.930;10.655;
2015;Diciembre;2.019;9.686;10.598;
2016;Enero;2.024;9.948;10.765;
2016;Febrero;2.125;9.976;10.793;
2016;Marzo;2.125;9.839;10.778;
2016;Abril;2.038;9.556;10.682;
2016;Mayo;1.968;9.249;10.488;
2016;Junio;1.963;9.083;10.357;
2016;Julio;1.948;8.847;10.116;
2016;Agosto;1.934;8.916;10.071;
2016;Septiembre;2.017;8.836;10.124;
2016;Octubre;2.010;8.810;10.136;
2016;Noviembre;1.977;8.688;9.985;
2016;Diciembre;1.763;8.420;9.906;
2017;Enero;1.831;8.676;9.969;
2017;Febrero;1.905;8.861;10.009;
2017;Marzo;1.956;8.611;9.964;
2017;Abril;1.827;8.330;9.775;
2017;Mayo;1.804;8.056;9.546;
2017;Junio;1.846;8.036;9.477;
2017;Julio;1.942;7.946;9.378;
2017;Agosto;1.968;8.122;9.357;
2017;Septiembre;2.161;8.016;9.398;
2017;Octubre;2.163;8.159;9.413;
2017;Noviembre;2.065;7.975;9.340;
2017;Diciembre;1.749;7.739;9.211;
2018;Enero;1.830;8.131;9.437;
2018;Febrero;1.960;8.200;9.425;
2018;Marzo;1.959;8.129;9.387;
2018;Abril;1.915;7.795;9.241;
2018;Mayo;1.847;7.565;9.101;
2018;Junio;1.925;7.339;8.902;
2018;Julio;1.914;7.247;8.798;
2018;Agosto;1.933;7.257;8.790;
2018;Septiembre;1.913;7.322;8.789;
2018;Octubre;1.880;7.360;8.865;
2018;Noviembre;1.857;7.273;8.757;
2018;Diciembre;1.689;7.115;8.684;
2019;Enero;1.782;7.422;8.897;
2019;Febrero;1.867;7.526;8.922;
2019;Marzo;1.917;7.520;8.913;
2019;Abril;1.860;7.455;8.828;
2019;Mayo;1.778;7.199;8.749;
2019;Junio;1.726;7.026;8.601;
2019;Julio;1.839;7.335;8.613;
2019;Agosto;1.803;7.118;8.488;
2019;Septiembre;1.797;6.940;8.478;
2019;Octubre;1.831;6.950;8.558;
2019;Noviembre;1.838;6.891;8.517;
2019;Diciembre;1.575;6.783;8.493;
2020;Enero;1.644;7.179;8.714;
2020;Febrero;1.721;7.293;8.792;
2020;Marzo;1.740;7.636;8.903;
2020;Abril;1.911;8.769;9.403;
2020;Mayo;2.088;9.364;9.658;
2020;Junio;2.076;9.508;9.833;
2020;Julio;2.139;9.464;9.875;
2020;Agosto;2.213;9.508;9.928;
2020;Septiembre;2.256;9.134;9.934;
2020;Octubre;2.341;9.280;10.170;
2020;Noviembre;2.397;9.314;10.330;
2020;Diciembre;2.396;9.359;10.370;
2021;Enero;2.372;9.637;10.559;
2021;Febrero;2.464;9.789;10.625;
2021;Marzo;2.417;9.524;10.559;
2021;Abril;2.464;9.445;10.645;
2021;Mayo;2.303;9.218;10.565;
2021;Junio;2.199;8.998;10.447;
2021;Julio;2.132;8.627;10.318;
2021;Agosto;2.125;8.636;10.200;
2021;Septiembre;2.092;8.243;10.063;
2021;Octubre;1.962;8.003;9.918;
2021;Noviembre;1.940;7.732;9.915;
2021;Diciembre;1.621;7.233;9.483;
2022;Enero;1.507;7.105;9.348;
2022;Febrero;1.384;6.797;9.025;
2022;Marzo;1.473;6.881;9.033;
2022;Abril;1.410;6.633;8.744;
2022;Mayo;1.298;6.254;8.551;
2022;Junio;1.376;6.334;8.534;
2022;Julio;1.285;6.133;8.381;
2022;Agosto;1.285;6.133;8.381;
2022;Septiembre;1.343;6.113;8.429;
2022;Octubre;1.374;6.079;8.536;
2022;Noviembre;1.291;5.956;8.407;
2022;Diciembre;1.181;5.822;8.365;
2023;Enero;1.304;6.272;8.475;
2023;Febrero;1.393;6.387;8.520;
2023;Marzo;1.473;6.463;8.553;
2023;Abril;1.386;6.248;8.525;
2023;Mayo;1.319;6.076;8.497;
2023;Junio;1.318;5.960;8.379;
2023;Julio;1.274;5.747;8.178;
2023;Agosto;1.301;5.890;8.110;
2023;Septiembre;1.384;5.823;8.246;
2023;Octubre;1.374;5.870;8.256;
2023;Noviembre;1.297;5.819;8.191;
2023;Diciembre;1.212;5.807;8.122;
2024;Enero;1.305;6.171;8.384;
2024;Febrero;1.359;6.180;8.368;
2024;Marzo;1.385;6.217;8.324;
2024;Abril;1.321;6.098;8.357;
2024;Mayo;1.268;5.925;8.114;
2024;Junio;1.219;5.784;7.921;
2024;Julio;1.202;5.710;7.788;
2024;Agosto;1.187;5.675;7.808;
2024;Septiembre;1.250;5.722;7.810;
2024;Octubre;1.250;5.733;7.909;
2024;Noviembre;1.563;7.580;10.247;
2024;Diciembre;1.167;5.889;8.557;
2025;Enero;1.154;6.096;8.646;
2025;Febrero;1.280;6.224;8.647;
2025;Marzo;1.279;5.952;7.907;
2025;Abril;1.235;5.939;7.867;
2025;Mayo;1.127;5.694;7.684;
2025;Junio;1.068;5.475;7.539;
2025;Julio;1.034;5.477;7.435;
2025;Agosto;1.050;5.519;7.497;
2025;Septiembre;1.122;5.473;7.460;
2025;Octubre;1.196;5.536;7.527;
2025;Noviembre;1.115;5.497;7.502;
2025;Diciembre;1.062;5.455;7.538;
2026;Enero;1.091;5.653;7.578;
2026;Febrero;1.185;5.778;7.650;
