El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Puente de Vallecas;Madrid;
2013;Anual;23577,11148234;36591,6633285965;
2014;Anual;23516,82;37231,15;
2015;Anual;24688,0695824902;38534,6170377993;
2016;Anual;25029;39613;
2017;Anual;25527;40195;
2018;Anual;26652;42283;
2019;Anual;27975;43393;
2020;Anual;27714;43003;
2021;Anual;28681;43953;
2022;Anual;30339;46651;
