El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Puente de Vallecas;
2010;Anual;6277;
2011;Anual;6333;
2012;Anual;5713;
2013;Anual;5808;
2014;Anual;6249;
2015;Anual;6365;
2016;Anual;6404;
2017;Anual;6909;
2018;Anual;5723;
2019;Anual;7742;
2020;Anual;8270;
2021;Anual;8036;
2022;Anual;7835;
2023;Anual;8015;
