El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Arganzuela;Madrid;
2013;Anual;38,9;39;
2014;Anual;35,2;39,2;
2015;Anual;35,4;39,9;
2016;Anual;39,6;40,8;
2017;Anual;42;42,1;
2018;Anual;41,7;42,8;
2019;Anual;42,7;43,9;
2020;Anual;42,5;44,1;
2021;Anual;42,8;43,4;
2022;Anual;44,2;45,4;
2023;Anual;44,1;45,9;
