El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Arganzuela;
2010;Anual;5804;
2011;Anual;5799;
2012;Anual;5037;
2013;Anual;5301;
2014;Anual;5990;
2015;Anual;6187;
2016;Anual;6316;
2017;Anual;6808;
2018;Anual;5446;
2019;Anual;7865;
2020;Anual;8145;
2021;Anual;7745;
2022;Anual;7704;
2023;Anual;8050;
