El municipio en cifras
Parados por grupos de edad
Año;Periodos;Menos de 25 años;Entre 25 y 44 años;Más de 44 años;
2012;Diciembre;660;5.787;4.602;
2013;Enero;622;5.962;4.670;
2013;Febrero;637;5.935;4.691;
2013;Marzo;634;5.845;4.689;
2013;Abril;651;5.778;4.705;
2013;Mayo;649;5.635;4.757;
2013;Junio;530;5.523;4.736;
2013;Julio;492;5.607;4.885;
2013;Agosto;492;5.631;4.957;
2013;Septiembre;570;5.457;4.901;
2013;Octubre;607;5.343;4.884;
2013;Noviembre;611;5.233;4.832;
2013;Diciembre;540;5.096;4.804;
2014;Enero;568;5.235;4.916;
2014;Febrero;578;5.213;4.903;
2014;Marzo;560;5.072;4.876;
2014;Abril;514;4.970;4.798;
2014;Mayo;473;4.832;4.751;
2014;Junio;401;4.627;4.714;
2014;Julio;453;4.774;4.821;
2014;Agosto;476;4.826;4.780;
2014;Septiembre;543;4.680;4.788;
2014;Octubre;555;4.643;4.753;
2014;Noviembre;543;4.614;4.745;
2014;Diciembre;460;4.451;4.747;
2015;Enero;466;4.609;4.799;
2015;Febrero;491;4.665;4.774;
2015;Marzo;508;4.563;4.755;
2015;Abril;503;4.382;4.690;
2015;Mayo;463;4.187;4.581;
2015;Junio;431;4.033;4.530;
2015;Julio;427;4.125;4.563;
2015;Agosto;426;4.251;4.559;
2015;Septiembre;508;4.065;4.445;
2015;Octubre;541;4.152;4.448;
2015;Noviembre;520;4.108;4.392;
2015;Diciembre;454;4.087;4.414;
2016;Enero;425;4.147;4.507;
2016;Febrero;448;4.116;4.466;
2016;Marzo;478;4.048;4.399;
2016;Abril;460;3.937;4.344;
2016;Mayo;406;3.780;4.251;
2016;Junio;375;3.735;4.180;
2016;Julio;388;3.873;4.203;
2016;Agosto;409;3.906;4.238;
2016;Septiembre;457;3.713;4.150;
2016;Octubre;456;3.572;4.089;
2016;Noviembre;428;3.534;4.103;
2016;Diciembre;367;3.459;4.055;
2017;Enero;387;3.578;4.128;
2017;Febrero;413;3.579;4.129;
2017;Marzo;429;3.465;4.108;
2017;Abril;398;3.318;4.000;
2017;Mayo;376;3.221;3.936;
2017;Junio;346;3.182;3.877;
2017;Julio;411;3.276;3.920;
2017;Agosto;445;3.332;3.916;
2017;Septiembre;472;3.252;3.855;
2017;Octubre;468;3.194;3.846;
2017;Noviembre;454;3.125;3.801;
2017;Diciembre;389;3.070;3.768;
2018;Enero;387;3.175;3.884;
2018;Febrero;377;3.115;3.924;
2018;Marzo;391;3.040;3.806;
2018;Abril;371;2.916;3.760;
2018;Mayo;350;2.825;3.742;
2018;Junio;297;2.738;3.666;
2018;Julio;323;2.855;3.623;
2018;Agosto;354;2.931;3.661;
2018;Septiembre;412;2.848;3.642;
2018;Octubre;397;2.779;3.610;
2018;Noviembre;374;2.727;3.523;
2018;Diciembre;350;2.630;3.533;
2019;Enero;371;2.733;3.623;
2019;Febrero;387;2.834;3.635;
2019;Marzo;382;2.750;3.658;
2019;Abril;341;2.662;3.609;
2019;Mayo;333;2.600;3.554;
2019;Junio;283;2.575;3.502;
2019;Julio;282;2.694;3.523;
2019;Agosto;318;2.801;3.582;
2019;Septiembre;371;2.729;3.598;
2019;Octubre;398;2.710;3.592;
2019;Noviembre;392;2.668;3.586;
2019;Diciembre;347;2.630;3.603;
