El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Arganzuela;
2010;Anual;81135;
2011;Anual;78453;
2012;Anual;76551;
2013;Anual;80422;
2014;Anual;83151;
2015;Anual;86193;
2016;Anual;86693;
2017;Anual;88079;
2018;Anual;87638;
2019;Anual;90672;
2020;Anual;90298;
2021;Anual;87543;
2022;Anual;90396;
2023;Anual;94086;
