El municipio en cifras
Población
Año;Periodos;Arganzuela;
1987;Anual;120783;
1988;Anual;120901;
1989;Anual;120690;
1990;Anual;121128;
1991;Anual;116718;
1992;Anual;116960;
1993;Anual;118119;
1994;Anual;118555;
1995;Anual;118774;
1996;Anual;114700;
1997;Anual;117107;
1998;Anual;119514;
1999;Anual;122385;
2000;Anual;123427;
2001;Anual;130829;
2002;Anual;137022;
2003;Anual;143867;
2004;Anual;146402;
2005;Anual;146833;
2006;Anual;148797;
2007;Anual;149577;
2008;Anual;152744;
2009;Anual;154345;
2010;Anual;154787;
2011;Anual;154717;
2012;Anual;153923;
2013;Anual;154062;
2014;Anual;151608;
2015;Anual;150177;
2016;Anual;151520;
2017;Anual;151965;
2018;Anual;152907;
2019;Anual;153830;
2020;Anual;155660;
2021;Anual;154243;
2022;Anual;152638;
2023;Anual;153304;
2024;Anual;156559;
2025;Anual;158760;
