El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Arganzuela;Madrid;
2013;Anual;37920,2385696237;36591,6633285965;
2014;Anual;38639,82;37231,15;
2015;Anual;40200,6566542751;38534,6170377993;
2016;Anual;41122;39613;
2017;Anual;42088;40195;
2018;Anual;43789;42283;
2019;Anual;45262;43393;
2020;Anual;45310;43003;
2021;Anual;46699;43953;
2022;Anual;49236;46651;
