El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Hortaleza;
2010;Anual;5822;
2011;Anual;5856;
2012;Anual;5193;
2013;Anual;5372;
2014;Anual;6027;
2015;Anual;6445;
2016;Anual;6573;
2017;Anual;7023;
2018;Anual;5561;
2019;Anual;7935;
2020;Anual;8340;
2021;Anual;8019;
2022;Anual;7885;
2023;Anual;8172;
