El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Hortaleza;Madrid;
2013;Anual;37,1;39;
2014;Anual;33,5;39,2;
2015;Anual;33,2;39,9;
2016;Anual;37,6;40,8;
2017;Anual;39,7;42,1;
2018;Anual;39,3;42,8;
2019;Anual;39,8;43,9;
2020;Anual;39,8;44,1;
2021;Anual;40,1;43,4;
2022;Anual;40,9;45,4;
2023;Anual;40,6;45,9;
