El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Hortaleza;
2010;Anual;57722;
2011;Anual;65358;
2012;Anual;67522;
2013;Anual;74881;
2014;Anual;73806;
2015;Anual;75203;
2016;Anual;77167;
2017;Anual;77820;
2018;Anual;82540;
2019;Anual;89188;
2020;Anual;93688;
2021;Anual;94328;
2022;Anual;101118;
2023;Anual;113457;
