El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Hortaleza;Madrid;
2013;Anual;45235,3150446124;36591,6633285965;
2014;Anual;45875,32;37231,15;
2015;Anual;47110,2628870274;38534,6170377993;
2016;Anual;48688;39613;
2017;Anual;49695;40195;
2018;Anual;52944;42283;
2019;Anual;53836;43393;
2020;Anual;52880;43003;
2021;Anual;54316;43953;
2022;Anual;57506;46651;
