El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Hortaleza;
2013;Anual;64566;
2014;Anual;57783;
2015;Anual;57940;
2016;Anual;66906;
2017;Anual;71639;
2018;Anual;72193;
2019;Anual;74922;
2020;Anual;76975;
2021;Anual;77532;
2022;Anual;79765;
2023;Anual;80493;
