El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Carabanchel;
2013;Anual;85299;
2014;Anual;74821;
2015;Anual;75092;
2016;Anual;86509;
2017;Anual;91635;
2018;Anual;93515;
2019;Anual;97882;
2020;Anual;100048;
2021;Anual;99634;
2022;Anual;103713;
2023;Anual;103151;
