El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Carabanchel;
2010;Anual;34404;
2011;Anual;35225;
2012;Anual;32047;
2013;Anual;32394;
2014;Anual;32012;
2015;Anual;34134;
2016;Anual;36290;
2017;Anual;37456;
2018;Anual;36570;
2019;Anual;41392;
2020;Anual;41293;
2021;Anual;39994;
2022;Anual;40977;
2023;Anual;43492;
