El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Carabanchel;
2010;Anual;8262;
2011;Anual;8282;
2012;Anual;7297;
2013;Anual;7661;
2014;Anual;8401;
2015;Anual;8741;
2016;Anual;8957;
2017;Anual;9530;
2018;Anual;6942;
2019;Anual;10551;
2020;Anual;10943;
2021;Anual;10524;
2022;Anual;10228;
2023;Anual;10437;
