El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Carabanchel;Madrid;
2013;Anual;34,5;39;
2014;Anual;30,8;39,2;
2015;Anual;31,3;39,9;
2016;Anual;35,7;40,8;
2017;Anual;37,6;42,1;
2018;Anual;37,7;42,8;
2019;Anual;38,7;43,9;
2020;Anual;38,5;44,1;
2021;Anual;38,5;43,4;
2022;Anual;40,6;45,4;
2023;Anual;39,3;45,9;
