El municipio en cifras
Afiliaciones al régimen general por lugar de trabajo sobre población de 16 a 64 (%)
Año;Periodos;Hombres;Mujeres;
2010;Anual;16,5;14,0;
2011;Anual;17,0;15,0;
2012;Anual;16,1;14,0;
2013;Anual;15,2;15,4;
2014;Anual;15,0;14,9;
2015;Anual;16,8;16,0;
2016;Anual;17,7;17,2;
2017;Anual;17,7;17,6;
2018;Anual;18,5;18,1;
2019;Anual;19,0;18,0;
2020;Anual;17,9;17,2;
2021;Anual;17,6;16,4;
2022;Anual;18,4;17,4;
2023;Anual;18,9;18,2;
