El municipio en cifras
Parados por grupos de edad
Año;Periodos;Menos de 25 años;Entre 25 y 44 años;Más de 44 años;
2012;Diciembre;149;1.447;1.122;
2013;Enero;155;1.491;1.155;
2013;Febrero;167;1.505;1.161;
2013;Marzo;175;1.481;1.182;
2013;Abril;161;1.441;1.188;
2013;Mayo;162;1.395;1.250;
2013;Junio;136;1.377;1.280;
2013;Julio;146;1.364;1.305;
2013;Agosto;138;1.386;1.322;
2013;Septiembre;140;1.369;1.312;
2013;Octubre;150;1.386;1.319;
2013;Noviembre;147;1.368;1.323;
2013;Diciembre;141;1.340;1.313;
2014;Enero;159;1.391;1.345;
2014;Febrero;167;1.374;1.341;
2014;Marzo;167;1.346;1.317;
2014;Abril;147;1.268;1.297;
2014;Mayo;137;1.207;1.300;
2014;Junio;116;1.161;1.278;
2014;Julio;132;1.217;1.299;
2014;Agosto;141;1.264;1.317;
2014;Septiembre;158;1.221;1.320;
2014;Octubre;152;1.214;1.325;
2014;Noviembre;167;1.164;1.335;
2014;Diciembre;136;1.103;1.333;
2015;Enero;144;1.150;1.361;
2015;Febrero;152;1.168;1.362;
2015;Marzo;150;1.133;1.355;
2015;Abril;139;1.110;1.327;
2015;Mayo;127;1.036;1.289;
2015;Junio;125;1.000;1.265;
2015;Julio;125;995;1.272;
2015;Agosto;128;1.010;1.275;
2015;Septiembre;126;990;1.234;
2015;Octubre;142;993;1.217;
2015;Noviembre;128;993;1.200;
2015;Diciembre;112;988;1.219;
2016;Enero;116;980;1.230;
2016;Febrero;132;998;1.251;
2016;Marzo;125;990;1.236;
2016;Abril;114;957;1.252;
2016;Mayo;107;948;1.208;
2016;Junio;97;954;1.190;
2016;Julio;106;931;1.182;
2016;Agosto;89;967;1.197;
2016;Septiembre;98;897;1.156;
2016;Octubre;102;892;1.149;
2016;Noviembre;105;889;1.146;
2016;Diciembre;95;872;1.133;
2017;Enero;100;890;1.137;
2017;Febrero;114;909;1.129;
2017;Marzo;121;903;1.128;
2017;Abril;111;875;1.119;
2017;Mayo;113;851;1.105;
2017;Junio;87;816;1.073;
2017;Julio;91;820;1.067;
2017;Agosto;100;846;1.085;
2017;Septiembre;105;854;1.073;
2017;Octubre;102;823;1.069;
2017;Noviembre;99;792;1.046;
2017;Diciembre;87;807;1.035;
2018;Enero;107;801;1.066;
2018;Febrero;100;832;1.060;
2018;Marzo;112;800;1.053;
2018;Abril;100;813;1.030;
2018;Mayo;91;778;1.013;
2018;Junio;84;703;994;
2018;Julio;77;720;963;
2018;Agosto;67;721;956;
2018;Septiembre;85;719;985;
2018;Octubre;99;726;976;
2018;Noviembre;104;719;940;
2018;Diciembre;102;701;938;
2019;Enero;96;763;995;
2019;Febrero;108;777;989;
2019;Marzo;102;759;1.004;
2019;Abril;92;751;987;
2019;Mayo;82;712;974;
2019;Junio;72;702;995;
2019;Julio;73;738;989;
2019;Agosto;97;751;991;
2019;Septiembre;106;690;997;
2019;Octubre;132;672;995;
2019;Noviembre;114;689;1.035;
2019;Diciembre;89;675;1.040;
2020;Enero;88;700;1.062;
2020;Febrero;120;702;1.072;
2020;Marzo;114;748;1.100;
2020;Abril;131;895;1.150;
2020;Mayo;145;998;1.192;
2020;Junio;134;1.002;1.209;
2020;Julio;135;1.019;1.248;
2020;Agosto;145;1.035;1.260;
2020;Septiembre;159;978;1.238;
2020;Octubre;168;1.020;1.248;
2020;Noviembre;172;1.015;1.247;
2020;Diciembre;166;1.003;1.251;
2021;Enero;182;1.012;1.271;
2021;Febrero;205;1.032;1.295;
2021;Marzo;199;994;1.274;
2021;Abril;194;974;1.271;
2021;Mayo;158;912;1.265;
2021;Junio;172;884;1.267;
2021;Julio;159;842;1.250;
2021;Agosto;165;846;1.255;
2021;Septiembre;165;834;1.220;
2021;Octubre;158;771;1.221;
2021;Noviembre;137;750;1.211;
2021;Diciembre;107;693;1.169;
2022;Enero;91;680;1.117;
2022;Febrero;87;606;1.078;
2022;Marzo;79;587;1.069;
2022;Abril;82;565;1.073;
2022;Mayo;70;525;1.071;
2022;Junio;76;492;1.072;
2022;Julio;65;526;1.055;
2022;Agosto;65;526;1.055;
2022;Septiembre;84;519;1.032;
2022;Octubre;77;506;1.008;
2022;Noviembre;84;502;1.005;
2022;Diciembre;76;489;971;
2023;Enero;78;513;992;
2023;Febrero;89;507;992;
2023;Marzo;97;504;997;
2023;Abril;84;486;990;
2023;Mayo;80;487;980;
2023;Junio;74;477;994;
2023;Julio;71;505;1.010;
2023;Agosto;82;502;979;
2023;Septiembre;99;489;957;
2023;Octubre;97;496;979;
2023;Noviembre;88;486;957;
2023;Diciembre;75;473;942;
2024;Enero;73;490;948;
2024;Febrero;67;500;946;
2024;Marzo;74;487;958;
2024;Abril;72;458;945;
2024;Mayo;72;437;927;
2024;Junio;74;435;909;
2024;Julio;68;445;927;
2024;Agosto;75;443;925;
2024;Septiembre;92;423;943;
2024;Octubre;84;443;940;
2024;Noviembre;94;604;1.098;
2024;Diciembre;76;446;1.071;
2025;Enero;58;468;1.054;
2025;Febrero;74;472;1.084;
2025;Marzo;78;453;932;
2025;Abril;73;487;939;
2025;Mayo;85;463;946;
2025;Junio;66;451;953;
2025;Julio;72;471;985;
2025;Agosto;73;487;988;
2025;Septiembre;73;470;993;
2025;Octubre;74;484;981;
2025;Noviembre;67;472;1.005;
2025;Diciembre;66;465;1.005;
2026;Enero;71;461;1.016;
2026;Febrero;80;447;989;
