El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Barajas;
2013;Anual;17935;
2014;Anual;15658;
2015;Anual;15742;
2016;Anual;18059;
2017;Anual;19017;
2018;Anual;19154;
2019;Anual;19850;
2020;Anual;20490;
2021;Anual;20395;
2022;Anual;21020;
2023;Anual;21293;
