El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Barajas;
2010;Anual;1612;
2011;Anual;1629;
2012;Anual;1449;
2013;Anual;1526;
2014;Anual;1706;
2015;Anual;1787;
2016;Anual;1803;
2017;Anual;1941;
2018;Anual;1390;
2019;Anual;2207;
2020;Anual;2404;
2021;Anual;2458;
2022;Anual;2592;
2023;Anual;2639;
