El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Barajas;Madrid;
2013;Anual;46269,4095292796;36591,6633285965;
2014;Anual;46154,23;37231,15;
2015;Anual;46347,0082556842;38534,6170377993;
2016;Anual;47389;39613;
2017;Anual;47782;40195;
2018;Anual;49615;42283;
2019;Anual;51108;43393;
2020;Anual;50985;43003;
2021;Anual;51400;43953;
2022;Anual;54343;46651;
