El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Barajas;Madrid;
2013;Anual;38,9;39;
2014;Anual;34,3;39,2;
2015;Anual;34,4;39,9;
2016;Anual;39;40,8;
2017;Anual;40,6;42,1;
2018;Anual;40;42,8;
2019;Anual;40,5;43,9;
2020;Anual;41;44,1;
2021;Anual;40,7;43,4;
2022;Anual;43,4;45,4;
2023;Anual;43,8;45,9;
