El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Hombres;Mujeres;
2010;Anual;6,6;3,6;
2011;Anual;6,6;3,7;
2012;Anual;6,0;3,4;
2013;Anual;6,5;3,5;
2014;Anual;7,4;4,1;
2015;Anual;7,8;4,3;
2016;Anual;7,7;4,5;
2017;Anual;8,4;4,7;
2018;Anual;5,9;3,3;
2019;Anual;8,9;5,3;
2020;Anual;9,5;5,6;
2021;Anual;9,9;5,4;
2022;Anual;11,1;5,7;
2023;Anual;11,1;5,8;
