El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Barajas;
2010;Anual;39470;
2011;Anual;41663;
2012;Anual;42418;
2013;Anual;40112;
2014;Anual;40032;
2015;Anual;40393;
2016;Anual;47501;
2017;Anual;48856;
2018;Anual;49014;
2019;Anual;51887;
2020;Anual;52661;
2021;Anual;51880;
2022;Anual;42582;
2023;Anual;44797;
