El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Vicálvaro;Madrid;
2005;Anual;70,2;67,8;
2006;Anual;69,6;67,7;
2007;Anual;69,1;67,5;
2008;Anual;68,7;67,5;
2009;Anual;68,1;67,4;
2010;Anual;67,7;67;
2011;Anual;67,1;66,7;
2012;Anual;66,3;66,2;
2013;Anual;65,9;65,9;
2014;Anual;65,4;65,3;
2015;Anual;65,3;65;
2016;Anual;65,4;65;
2017;Anual;65,8;65,1;
2018;Anual;66,3;65,2;
2019;Anual;66,86;65,53;
2020;Anual;67,64;65,96;
2021;Anual;68,52;66,21;
2022;Anual;69,37;66,17;
2023;Anual;69,95;66,51;
2024;Anual;70,71;67,01;
2025;Anual;71,09;67,25;
