El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Vicálvaro;Madrid;
2013;Anual;29971,3885456651;36591,6633285965;
2014;Anual;30128,47;37231,15;
2015;Anual;31465,850272117;38534,6170377993;
2016;Anual;32152;39613;
2017;Anual;32713;40195;
2018;Anual;33870;42283;
2019;Anual;35510;43393;
2020;Anual;35589;43003;
2021;Anual;37141;43953;
2022;Anual;39505;46651;
