El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Vicálvaro;
2010;Anual;4789;
2011;Anual;5111;
2012;Anual;4725;
2013;Anual;5203;
2014;Anual;5933;
2015;Anual;6453;
2016;Anual;7015;
2017;Anual;7098;
2018;Anual;7312;
2019;Anual;8798;
2020;Anual;9717;
2021;Anual;9913;
2022;Anual;11068;
2023;Anual;11981;
