El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;2.980;3.037;
2013;Enero;3.111;3.094;
2013;Febrero;3.166;3.185;
2013;Marzo;3.201;3.161;
2013;Abril;3.155;3.173;
2013;Mayo;3.122;3.136;
2013;Junio;3.065;3.114;
2013;Julio;2.998;3.196;
2013;Agosto;2.987;3.197;
2013;Septiembre;3.011;3.230;
2013;Octubre;3.047;3.233;
2013;Noviembre;3.048;3.223;
2013;Diciembre;3.032;3.081;
2014;Enero;3.117;3.134;
2014;Febrero;3.118;3.166;
2014;Marzo;3.132;3.179;
2014;Abril;3.030;3.124;
2014;Mayo;2.965;3.073;
2014;Junio;2.830;3.022;
2014;Julio;2.774;3.165;
2014;Agosto;2.784;3.200;
2014;Septiembre;2.846;3.149;
2014;Octubre;2.881;3.151;
2014;Noviembre;2.879;3.130;
2014;Diciembre;2.858;3.060;
2015;Enero;2.839;3.075;
2015;Febrero;2.842;3.106;
2015;Marzo;2.817;3.120;
2015;Abril;2.761;3.050;
2015;Mayo;2.665;3.000;
2015;Junio;2.560;3.014;
2015;Julio;2.498;3.093;
2015;Agosto;2.482;3.089;
2015;Septiembre;2.458;3.045;
2015;Octubre;2.538;3.067;
2015;Noviembre;2.494;3.032;
2015;Diciembre;2.491;2.925;
2016;Enero;2.523;2.923;
2016;Febrero;2.520;2.937;
2016;Marzo;2.480;2.911;
2016;Abril;2.419;2.881;
2016;Mayo;2.326;2.864;
2016;Junio;2.250;2.894;
2016;Julio;2.185;2.870;
2016;Agosto;2.189;2.921;
2016;Septiembre;2.210;2.858;
2016;Octubre;2.256;2.831;
2016;Noviembre;2.218;2.832;
2016;Diciembre;2.193;2.749;
2017;Enero;2.287;2.781;
2017;Febrero;2.327;2.839;
2017;Marzo;2.312;2.831;
2017;Abril;2.245;2.773;
2017;Mayo;2.196;2.700;
2017;Junio;2.081;2.727;
2017;Julio;2.045;2.764;
2017;Agosto;2.086;2.832;
2017;Septiembre;2.099;2.789;
2017;Octubre;2.141;2.763;
2017;Noviembre;2.054;2.673;
2017;Diciembre;1.995;2.578;
2018;Enero;2.113;2.662;
2018;Febrero;2.163;2.686;
2018;Marzo;2.126;2.638;
2018;Abril;2.108;2.642;
2018;Mayo;2.005;2.593;
2018;Junio;1.935;2.552;
2018;Julio;1.868;2.570;
2018;Agosto;1.881;2.627;
2018;Septiembre;1.934;2.626;
2018;Octubre;1.885;2.559;
2018;Noviembre;1.873;2.523;
2018;Diciembre;1.811;2.422;
2019;Enero;1.872;2.565;
2019;Febrero;1.885;2.627;
2019;Marzo;1.909;2.633;
2019;Abril;1.910;2.528;
2019;Mayo;1.845;2.507;
2019;Junio;1.792;2.481;
2019;Julio;1.737;2.511;
2019;Agosto;1.868;2.572;
2019;Septiembre;1.815;2.572;
2019;Octubre;1.879;2.612;
2019;Noviembre;1.867;2.564;
2019;Diciembre;1.842;2.510;
2020;Enero;1.885;2.581;
2020;Febrero;1.915;2.635;
2020;Marzo;1.992;2.641;
2020;Abril;2.204;2.807;
2020;Mayo;2.278;2.909;
2020;Junio;2.241;2.941;
2020;Julio;2.248;3.015;
2020;Agosto;2.263;3.081;
2020;Septiembre;2.300;3.045;
2020;Octubre;2.321;3.149;
2020;Noviembre;2.288;3.150;
2020;Diciembre;2.340;3.174;
2021;Enero;2.364;3.203;
2021;Febrero;2.406;3.211;
2021;Marzo;2.438;3.219;
2021;Abril;2.374;3.185;
2021;Mayo;2.326;3.141;
2021;Junio;2.252;3.133;
2021;Julio;2.226;3.113;
2021;Agosto;2.250;3.118;
2021;Septiembre;2.231;3.059;
2021;Octubre;2.175;3.052;
2021;Noviembre;2.139;2.984;
2021;Diciembre;2.015;2.777;
2022;Enero;1.993;2.738;
2022;Febrero;1.861;2.644;
2022;Marzo;1.875;2.621;
2022;Abril;1.820;2.591;
2022;Mayo;1.752;2.491;
2022;Junio;1.663;2.416;
2022;Julio;1.738;2.534;
2022;Agosto;1.738;2.534;
2022;Septiembre;1.768;2.586;
2022;Octubre;1.760;2.591;
2022;Noviembre;1.730;2.522;
2022;Diciembre;1.695;2.506;
2023;Enero;1.778;2.635;
2023;Febrero;1.832;2.643;
2023;Marzo;1.855;2.662;
2023;Abril;1.801;2.577;
2023;Mayo;1.752;2.591;
2023;Junio;1.722;2.600;
2023;Julio;1.734;2.595;
2023;Agosto;1.774;2.602;
2023;Septiembre;1.785;2.638;
2023;Octubre;1.762;2.619;
2023;Noviembre;1.731;2.533;
2023;Diciembre;1.717;2.502;
2024;Enero;1.813;2.590;
2024;Febrero;1.831;2.604;
2024;Marzo;1.852;2.668;
2024;Abril;1.788;2.632;
2024;Mayo;1.772;2.595;
2024;Junio;1.699;2.578;
2024;Julio;1.711;2.579;
2024;Agosto;1.690;2.564;
2024;Septiembre;1.696;2.573;
2024;Octubre;1.724;2.607;
2024;Noviembre;1.179;1.770;
2024;Diciembre;1.780;2.644;
2025;Enero;1.824;2.646;
2025;Febrero;1.793;2.764;
2025;Marzo;1.720;2.611;
2025;Abril;1.691;2.560;
2025;Mayo;1.691;2.507;
2025;Junio;1.634;2.509;
2025;Julio;1.620;2.524;
2025;Agosto;1.649;2.571;
2025;Septiembre;1.690;2.563;
2025;Octubre;1.671;2.554;
2025;Noviembre;1.658;2.492;
2025;Diciembre;1.658;2.477;
2026;Enero;1.681;2.502;
2026;Febrero;1.724;2.548;
