El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Vicálvaro;
2013;Anual;25947;
2014;Anual;23278;
2015;Anual;23525;
2016;Anual;26690;
2017;Anual;27643;
2018;Anual;28481;
2019;Anual;29642;
2020;Anual;30454;
2021;Anual;30676;
2022;Anual;32675;
2023;Anual;35470;
