El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Vicálvaro;
2010;Anual;1496;
2011;Anual;1447;
2012;Anual;1268;
2013;Anual;1374;
2014;Anual;1507;
2015;Anual;1545;
2016;Anual;1625;
2017;Anual;1717;
2018;Anual;1595;
2019;Anual;2034;
2020;Anual;2141;
2021;Anual;2080;
2022;Anual;2110;
2023;Anual;2246;
