El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Vicálvaro;Madrid;
2013;Anual;36,9;39;
2014;Anual;33,4;39,2;
2015;Anual;33,9;39,9;
2016;Anual;38,2;40,8;
2017;Anual;39,5;42,1;
2018;Anual;40,1;42,8;
2019;Anual;41,1;43,9;
2020;Anual;41,1;44,1;
2021;Anual;40,6;43,4;
2022;Anual;41,2;45,4;
2023;Anual;42,3;45,9;
