El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Villaverde;Madrid;
2013;Anual;25295,8826568841;36591,6633285965;
2014;Anual;25379,34;37231,15;
2015;Anual;26599,0045116095;38534,6170377993;
2016;Anual;26915;39613;
2017;Anual;27392;40195;
2018;Anual;28407;42283;
2019;Anual;29873;43393;
2020;Anual;29640;43003;
2021;Anual;30673;43953;
2022;Anual;32527;46651;
