El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Villaverde;
2010;Anual;3652;
2011;Anual;3705;
2012;Anual;3225;
2013;Anual;3359;
2014;Anual;3668;
2015;Anual;3773;
2016;Anual;3900;
2017;Anual;4360;
2018;Anual;3735;
2019;Anual;5037;
2020;Anual;5346;
2021;Anual;5214;
2022;Anual;5226;
2023;Anual;5467;
