El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Villaverde;Madrid;
2013;Anual;33,2;39;
2014;Anual;29,7;39,2;
2015;Anual;30,2;39,9;
2016;Anual;34,7;40,8;
2017;Anual;36,7;42,1;
2018;Anual;37;42,8;
2019;Anual;37,9;43,9;
2020;Anual;37,7;44,1;
2021;Anual;37,6;43,4;
2022;Anual;40;45,4;
2023;Anual;38,8;45,9;
