El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Salamanca;
2010;Anual;10838;
2011;Anual;11028;
2012;Anual;9631;
2013;Anual;9935;
2014;Anual;11178;
2015;Anual;11525;
2016;Anual;11338;
2017;Anual;12329;
2018;Anual;9296;
2019;Anual;13610;
2020;Anual;14199;
2021;Anual;13739;
2022;Anual;13792;
2023;Anual;14056;
