El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Salamanca;
2010;Anual;164140;
2011;Anual;168133;
2012;Anual;163882;
2013;Anual;167827;
2014;Anual;162469;
2015;Anual;166631;
2016;Anual;169163;
2017;Anual;173857;
2018;Anual;177674;
2019;Anual;185058;
2020;Anual;187135;
2021;Anual;176486;
2022;Anual;196461;
2023;Anual;202256;
