El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Salamanca;
2013;Anual;51717;
2014;Anual;45606;
2015;Anual;45232;
2016;Anual;51759;
2017;Anual;54690;
2018;Anual;54741;
2019;Anual;56611;
2020;Anual;56979;
2021;Anual;56790;
2022;Anual;57860;
2023;Anual;57783;
