El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Salamanca;Madrid;
2005;Anual;11,77;13,59;
2006;Anual;11,73;13,6;
2007;Anual;11,72;13,72;
2008;Anual;11,57;13,87;
2009;Anual;11,5;14,05;
2010;Anual;11,51;14,19;
2011;Anual;11,55;14,29;
2012;Anual;11,5;14,4;
2013;Anual;11,45;14,46;
2014;Anual;11,5;14,48;
2015;Anual;11,57;14,5;
2016;Anual;11,55;14,51;
2017;Anual;11,55;14,49;
2018;Anual;11,42;14,37;
2019;Anual;11,35;14,22;
2020;Anual;11,16;13,98;
2021;Anual;11,06;13,76;
2022;Anual;10,9;13,55;
2023;Anual;10,63;13,29;
2024;Anual;10,37;13,03;
2025;Anual;10,12;12,74;
