El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Salamanca;Madrid;
2013;Anual;51244,900793754;36591,6633285965;
2014;Anual;53050,13;37231,15;
2015;Anual;53971,852404971;38534,6170377993;
2016;Anual;57147;39613;
2017;Anual;57720;40195;
2018;Anual;61466;42283;
2019;Anual;60435;43393;
2020;Anual;60401;43003;
2021;Anual;60217;43953;
2022;Anual;64925;46651;
