El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Salamanca;Madrid;
2005;Anual;22,1;18,62;
2006;Anual;22,15;18,74;
2007;Anual;22,47;18,76;
2008;Anual;22,4;18,58;
2009;Anual;22,45;18,58;
2010;Anual;22,61;18,77;
2011;Anual;22,75;19,04;
2012;Anual;23;19,36;
2013;Anual;23,2;19,67;
2014;Anual;23,76;20,18;
2015;Anual;24,04;20,49;
2016;Anual;23,99;20,46;
2017;Anual;23,98;20,46;
2018;Anual;23,92;20,39;
2019;Anual;23,89;20,26;
2020;Anual;23,77;20,06;
2021;Anual;23,8;20,03;
2022;Anual;23,99;20,28;
2023;Anual;24,12;20,2;
2024;Anual;23,8;19,97;
2025;Anual;23,85;20,01;
